g1,q1,r1,g2,q2,r2,g3,q3,r3,g4,q4,r4,g5,q5,r5,g6,q6,r6,g7,q7,r7,g8,q8,r8,g9,q9,r9,g10,q10,r10,g11,q11,r11,g12,q12,r12
W,"When the coin is mid air, which way do you wish the coin would land?","I don't know, I'm not the one who's asking!",M,What is so fucking detestable about thousands of people crying and screaming in happiness over a moment?,"I mean it's not really about happiness, it's about a moment where a person is happy and a moment where they cry.",W,How much is the abortion pill without insurance?,"I was on it, but it was just a little bit of it.",M,how is focusing on one gender going to bring about equality?,"It's not, but it's going to bring about equality in the workplace.",W,"However, what statement would you make in regards to people who cant or choose not to have kids?",I'd say that the parents who have kids should have to do their part and have a say in the matter.,W,How did you apply for your job?,"I didn't apply for the job, I just got the job and I'm in it for the money.",M,How did we handle Suarezs situation?,We didn't.,W,How is a different person commiting the acts against one persons body in the two scenarios arguing semantics?,I'm not arguing semantics. I'm just explaining what the difference in a criminal case is between the two.,W,How would you feel if you dated a guy for a *significant* period of time and then have your best friend date him?,I would feel pretty bad for the guy and then I would feel bad for the guy.,W,Whats the cost of living in your area?,"The cost of living in my area is about 2,000 month",W,Who wasnt responsible for whose creation?,It was the creator's.,M,What was I supposed to do?,I was wondering if you had to.
W,What are you willing to risk?,"I'm not sure. I think that I will be able to afford it, but it is a bit hard for me to decide.",M,What country are you living in?,I live in the Netherlands.,M,Who the fuck would have predicted Brexit would be led by the donkeys in charge now?,The same people that voted for Trump?,M,When did Hamilton say Mercedes cant win?,After the first lap.,M,How would you propose to go about halting it?,I would like to hear some ideas from the people who are currently in the process of making that happen.,M,When the fuck did I say that?,"I'm not talking about you, I'm talking about the other guy.",M,"What the fuck did you just fucking say about me, you little bitch?",I love you,W,How did you choose your pet insurance?,I had a friend who had a dog that was on the insurance.,W,How many more reasons you need?,Just one more.,W,What kinds of things do teenage boys do that would surprise women?,The girls are so much better off.,M,"What the fuck did you just fucking say about me, you little bitch?",You're like a little girl that got her hair cut at the mall.,W,What is difficult with maintaining a healthy weight?,Being a teenager.
M,"How pissed would you be if you were FSU (undefeated, returning champs) and not given a 1st round bye?",How much would he make if he won the title?,M,Whos gonna protect the rich people when the working class revolts?,The working class revolts?,W,How on earth would you know that though?,Because he's an expert in the subject?,W,What am I refusing what you are saying?,That it's not a good thing.,W,What made you to want to read it?,Because I like to read.,M,"What the fuck did you just fucking say about me, you little bitch?",I'm going to go out on a limb and assume that they're trying to get you to say something about the game.,M,What happened when Apple wanted to get into electric cars?,Apple is still a small company with many small investors.,W,What is an apology really going to do?,It will help the people who are offended by this.,W,What if the homeowners report you?,"I'd just move on, but I'm not sure how long it would take. I have a feeling that the landlord would want to keep his word.",M,How many owners would be willing to take on Rudy Gays salary?,I'd be willing to take on his salary for free,M,"What defines a sport, and why cant esports be a part of it?","It's a sports competition, not a sport.",M,What does LeBron not exist anymore???,It's because he doesn't.
M,Who would have thought Corey would be the one to go?,He's the one who knocks.,M,How the hell does the writer actually think that is a sound argument?,"It's not, but it's still an argument.",W,What region did you grow up in?,I'm from the USA.,W,What makes you qualified to draw the line?,I'm a professional.,W,How different is California from Texas?,The weather.,M,What are you being paid for since you dont know what youre talking about?,I don't know either but I know that he is paid in upvotes.,W,How long have you honestly been feeling like this?,I've been feeling like this for about two weeks now.,W,How can you be so inconsiderate??,You are not a real human being!!!,M,Who would you think was better?,It's a toss up between both honestly.,M,How often has that really happened before?,"Not sure, but it's a good question.",W,How can I look sexy without looking slutty?,You just gotta look at the right girls!,W,Who cares if shes avoiding it?,"I'd say she's avoiding it because she knows it's going to be a big thing, but it's not like she's not going to make it."
W,When would your kids even see you?,When I was 15.,W,How far do you live from Canada?,"I live in the Netherlands, so it's a bit further than that.",W,What do you tell a child in that circumstance?,You're a bad person.,W,What about your needs and wishes?,"My needs are mostly for a car, and I would like to have a nice car.",M,How else to explain his Wight killing prowess?,He's a wight. That's how.,W,What the hell people who order that weird combination of food?,It's the best combination of food I've ever had.,M,What is so bad about it?,It's a great map for a beginner.,M,What is your counter-argument to inflation?,"The price of the things I'm buying has gone up, so the cost of the things I'm buying has gone down?",W,How do you not think his actions are absurd?,Because he's an American,M,What do you think theyll buy?,I hope it's a good deal.,M,"How in the hell do you throw Edwin Encarnacion, the Dominican Teddy Bear, out of the game after a few sentences?",He had a bad game and the manager had to give him a day off.,M,What if I dont want to drive around in a tank for 20 mins then shoot a few times and go back to driving to the next base?,then you're going to die
M,"What do you want me to do, stand up and cheer every fucking time the game starts?",If you do that you're not a true fan,M,Who cares if hes not competing for the championship within two months of debuting?,He has a chance to be a top 5 guy in the UFC.,M,What about all those missed chances for people who were going to receive those scholarships?,They're just being punished for being born rich,M,"What is the technology, by the way?",It is a 3D printer.,M,How did you jump to the conclusion that these immigrants behaviour was a direct result of their ethnic and cultural background?,The same way I jump to the conclusion that the sky is blue and water is wet,M,What does that even have to do with my post?,"I don't know, I'm new to this.",M,What do you actually offer society?,"He's a good guy. Just a very good, very good guy.",W,How do you chose to believe?,I've been a devout Christian since the age of 18 and I've been an atheist for about 20 years.,M,How long ago did you transfer the btc from cj wallet to your personal wallet?,Just over a week ago.,W,How do you deal with all of them?,"I use a lot of abilities, so I can't say I really know, but I think I can say that I'm pretty good at dealing with them.",W,How many black people do you think are going to laugh at his joke?,I've never seen an episode of that show and I have no idea what that is.,M,"However, as the $200 came from an organization in the U.S., its ok.  How would any of the things in your link from the U.S. government prevent the Frenchman from giving $200 that end up being used to fund a school in Haiti?","That's a good question. I'm not sure, I'll look into it."
W,what about the months when i may not see any paychecks at all?,I have a friend who's been doing it for years. It's not too bad.,W,Whats the deal with your marriage?,I'm going through the divorce proceedings in the divorce court.,W,Whats wrong with OP working on his confidence and improving his casual relationships with women via friendship?,That's a really good point.,M,"What the fuck did you just fucking say about me, you little bitch?","What did you say about me, you little...?",M,"What, you figure David Moyes was hired because of his play style and tactical ability?",He did not say that.,M,Whats the point in being champion if youre not THE champion?,He's the best champion in the game. He's the best champion in the game.,W,What moisturizer did you use during your accutane?,I used the brand on Amazon!,M,"What the fuck did you just fucking say about me, you little bitch?",This guy's got a problem.,W,How the hell do you know this?,"Because they have a lot of money, and they have the ability to do it.",W,How is the notice process going?,"Just got back from work, so I'll be doing a full report this evening, but I have no idea of the current process.",W,What do you do for a job?,"I'm a software engineer, working on a lot of software.",W,What did you do for your baby teeth?,I was going to guess the same thing!
M,How much ram do you have?,"32GB, it's a 4GB card.",W,What reality do you live in?,The real one.,M,Who do you think elects the president of these **United *States*?,The people who voted for him. The ones that voted for him because of his name.,M,How can a list of companies (which you explicitly asked for) carry any sort of implication?,He's asking about a list of companies and their employees,W,How is your relationship with your mom?,"We're great friends. She's been a great friend, and she's a great mom.",W,What if later later have a kid?,It's still a kid.,W,What would you say is a reasonable amount of change?,I'm sure there's a few of us that can help you get a good idea.,M,How much would you pay for Michael Jordan?,I'd pay like 20 dollars for him.,W,Whats with all these cheating and dumping girlfriends??,I'm a girl and I find this post offensive.,W,What is your intended outcome in telling them?,I'm not sure. I'm not in a position to do so.,M,How the hell do you think Wikileaks gets their hands on this?,They don't,W,How the fuck can a person be so dislikable?,They have no soul
W,Whats the female equivalent to emasculating?,I'm pretty sure that would be a female.,M,"When I go back, should I deload by 10% and go back up - so basically 32.5kg, 42.5kg, 70kg, and 80kg, or try again from the numbers above?","I would go back up to your starting weight, if you're comfortable with that.",W,"What Im wondering is, would extraterrestrial intelligence even be capable of communicating with us?",No. We are too far away to reach.,W,How long have you been married?,About 3 months,W,Who has to get annual physical exams as a teenager?,It's not as bad as it could be!,M,How was his Denver offense not star-studded?,It was. They were just awful.,W,What am I refusing what you are saying?,"You're not rejecting anything, you're just not accepting the reality of the situation.",M,How did we fuck up though?,I think it's the last game of the season.,M,How has LA fallen off a cliff?,"It's not falloff, but it's a lot better than it was before.",M,"How many civilians have Israel killed, and how many civilians have palestinian militants killed?",1 3 and 1 3,M,What happened when Apple wanted to get into electric cars?,They are getting into electric cars?,M,What does gox have to do with it?,"Nothing, it's just a way to get people to talk to you about the price of Bitcoin."
M,How do I know these things?,"I'm not sure, but I have a friend who works at a theater.",W,Who deals with stress/fear better than a big person?,I'm pretty sure that's a guy,M,What if you keep lighting my crops on fire that I use to sell to generate revenue?,I'm sure we could find a way to make that work. Just need to find a way to get the money to be put back into the economy.,M,What happens when the next revolution in internet connectivity to the home is based on open air optics reflected off blimps?,The next revolution in internet connectivity to the home is based on open air optics reflected off blimps.,W,What does your life look like outside of work?,It's a bit of a mess.,W,Who cares what the situation is?,I do,W,What kinds of shitty attitude and behaviour are you talking about?,He's talking about how the game is being played.,M,How about finding hidden dog relics or determination vials in hidden rooms?,"I think that was a good idea! I will give it a go, thanks",W,How are you going to know for sure who is a false accuser?,"Well, I have been in a few cases of a guy being a false accuser, and I'm sure he'd have the same reaction.",W,Who the heck is allowed to put curvy r/okc??,I'm pretty sure it's the official nickname for the team.,M,What made you see the light?,It was all I could do to help him.,M,How does changing the playoff seeding change who matches up later in the round or fix injuries?,"You have to play the first round, and then the second round, and then the third round."
W,Who are you trying to convince?,The only person I can think of is you!,M,What portion of the federal budget is used to actually supply those *essential* services?,I'd like to see a breakdown of how much federal spending goes to the military.,M,How are you not getting this?,"I don't even know what the question is, I'm not a native speaker.",M,How can that be the case?,Because it's in the sidebar...?,W,What can you do for his mental problem?,"He's a doctor, I don't think he can prescribe drugs",W,What (very specifically) are you willing to take and not take?,The only one I am not willing to take is the one I am not willing to take.,M,"How else does a community organizer from Chicago, an energetic progressive liberal get turned into Bush Lite?","He didn't get turned into Bush Lite, he got turned into a Bush Lite puppet.",M,Whats the point of austerity and the Conservative party if youre going to get taxed to shit anyway?,Because the Tories are not the Tories anymore.,W,Howd you come about cleaning Karo syrup off the floor in the womens bathroom?,I'm a janitor and my job involves cleaning the floor.,W,"What if Robert hadnt been such a womanizer, and treated Cersei well?","I don't know, but I think the Lannisters would have won. The Lannisters are always the winners in a battle, even if the Lannisters win.",W,How about a non-stoner and their first and second pot experience?,I don't think I've ever seen a non conversational person in the real world.,W,What can you do during those times-- whats worked well in the past?,I've tried to make a lot of different things work for me. I just can't seem to get the timing right.
W,how do you know its wings are clipped?,"It's the tail that's clipped, it's just that the wings have a different shape than the rest of the wings.",W,How about to each their own?,I think it's funny because of the fact that you have a username that is the exact opposite of the actual user name.,W,What do you use to doodle?,A tablet.,W,"What kind of stuff do you read, out of interest?","I mostly read fantasy and sci fi, but I also read a lot of sci fi and fantasy. I have a soft spot for fantasy, though.",M,"What is the technology, by the way?",The technology is a lot like a laser printer.,W,What are your plans for the future?,I'm gonna get a tattoo of me in a giant cat.,M,"What the fuck did you just fucking say about me, you little bitch?",What'd it say?,W,What kind of dog is she?,A good one.,M,what the fuck are you talking about?,I think he's talking about the fact that the title says'I'm gonna get a new job'and not'I'm gonna get a new job ',W,What do you wear on your feet when its cold inside?,I wear socks,W,How old were you when you met?,18. She was 18,W,Who cares what you friends think?,It's the same people who care about what I think.
W,What are good things to ask for that you are likely to get?,"Anything you want, I guess?",M,How long ago did you transfer the btc from cj wallet to your personal wallet?,"I didn't, it was a private wallet for a few days.",W,How then can we trust any of it?,How is this a question?,W,Who has a baby/childs birthday party at night?,I do.,W,How many times does someone need to learn that lesson?,"How about, How many times can you get away with this?",W,How bad does something need to be before its bad enough that person isnt allowed to have kids?,The article says that the child was not born at home. It's not like that is a requirement to be a mother.,M,How would electing Trump make the DNC magically uncorrupt?,It won't. They are just trying to get a free pass and a way to keep the Dems in power.,M,Whats the argument for Bird over Magic?,I think it's that he's a better defender,M,How many times we saw PA or Ursa being picked for competitive play?,Not sure. I haven't seen PA picked for anything in a long time and I'm pretty sure Ursa isn't even in the same tier as PA.,W,What does your husbands family usually do for holidays?,We're both married and divorced,M,"What makes you feel Lebron is better than Kobe, Hakeem, and Duncan?",He's not.,W,What the hell do I say to them?,That's all I can think of too. But it's so hard to say to them.
M,What if you had equipped your ship with utterly kickass kill the crew -weaponry?,I would have just used a ship with absolutely nothing in it.,M,"What the fuck did you just fucking say about me, you little bitch?",You're so bad at this whole thing.,W,What do people say about me behind my back?,I say it's the best part of the job,W,"When all is said and done, what do I want people to remember about me?",I want to know what you do in your sleep?,M,What do you classify as hating on gays?,I think they mean people who don't like their own sexuality.,M,How come youre not arguing that Bill is the GOAT?,Because Bill is the only GOAT.,M,How much simpler can I make it?,I have no idea. I have no idea how much simpler this could be.,W,Whats the difference between a fandom and a hobby?,I think you mean : what's the difference between a fandom and a hobby?,M,How is taxation against human rights?,If you pay a tax that's not a human right,M,Whatd you do about the wider wheels/fender arches?,I have the same problem. I think it's just a bad tire. I've got some Michelin Pilot Super Sports that I've been using and they're fine.,W,How did Cody exhibit any restraint with Josh?,He did not.,M,When has Rondo ever demonstrated an ability to space the floor?,When he was playing against us.
W,How does using harassment that relates to someones gender (as opposed to saying the exact same things one would say to someone like Unidan) not amount to ingrained prejudice against women?,"You're not a very nice person, are you?",M,"However, a single weak AI could be probably fill the role by acting along the lines of a DM in a DnD session (Bastion?","I've never played DnD, so that could be true.",M,How about getting above.500 first?,I think you meant to ask how about getting above. 500,W,What kind of work are you doing now?,I'm a software engineer.,W,How was the procedure for you?,It was a total breeze!,M,How would you feel about that?,I feel like I could do it better than he could,M,How far back do you wanna go?,It's not about the past. It's about the future.,W,How old was dylan89 at the time?,He was born in 1769.,M,"What the fuck did you just fucking say about me, you little bitch?","You're so funny, you're funny, you're funny, you're funny, you're funny, you're funny.",M,What has the league done historically regarding players with a DUI charge?,I think it's only happened to players who have had to serve time in jail or have their records damaged.,W,What exactly is the issue anyway?,The issue is that the game is running on a potato.,W,How can you tell someone is healthier after a weight loss?,I think you mean how can you tell someone is healthier after a weight loss?
W,"How would speaking to him, or asking an adult who I trust to speak to him, put his future in jeopardy?","I'm sorry, but what?",M,"What, in your opinion, would be an acceptable rehabilitation plan for, say, James Holmes (Aurora, CO shooting in 2012)?",You're welcome to take a look at our recent history.,W,"When you are treated differently your whole life as a minority, why should you celebrate your similarities with people who dont really give a shit about you?",I don't even know where to begin with this. I'm not a minority.,M,How can Gamestop justify their prices compared with that?,They don't.,W,What is with all the shitty boyfriends and girlfriends making all you guys doubt your own preferences?,"I like it, but I think I'm too old and not enough cool.",W,How could you sort someone into the binary if their genitalia/chromosomes are abnormal?,The same way you could sort anyone else by chromosomes. That's the only way I know of.,W,What bank on earth doesnt show all transactions?,The IRS doesn't.,W,What makes you qualified to draw the line?,He has a PhD in neuroscience.,W,How much did I get back?,"You were a good sport, I'll give you that.",W,How do you break the ice to be able to talk about all-of-the-life with someone you only know a small segment of their life about?,You just tell them it's a joke.,M,What reasonable grown man fears for his life in a fistfight?,A man who has no sense of humour.,M,How the fuck can you not agree with that?,"Because the way it's written is not true, and it's not a very good read."
M,What was the capitol of Palestine before Jewish immigration?,It was a city called Jerusalem at the time.,M,How is a United fan calling us shallow in defence?,Because United fans are the most shallow of all teams.,W,What exactly would close look like to you?,I've got a good feeling about it.,W,Who made you the ruler of the universe who gets to tell thenewiBall what to do?,I think this is the only time I've ever upvoted a post on this sub.,M,"What the fuck did you just fucking say about me, you little Intro Pack bitch?",You are the worst kind of person.,M,When was the last time you heard of any crazed knifeman going on a stabbing spree?,Last time I heard about any stabbing spree was the one that happened in the UK.,W,"How does voluntary repossession work, anyways?","It doesn't, you are just a thief",W,When you did dietary restrictions how long did you do them?,About a year,M,Who should I share as a my companion unit?,"You can get a lot of use out of the other units, but they're not really good for this.",M,How can winning impart a sense of accomplishment if you know you didnt actually earn it?,You're the one that's not a winner.,M,How much protein are you getting?,Around 200.,M,How many people do you think would keep watching the NBA in that situation?,"Not many, and if it was me I'd watch the whole game."
M,What else is wrong with it?,Nothing. I'm just trying to give an explanation.,W,How about just not cheating out of basic respect for your partner?,"I'm not the one who cheated, I was just curious.",W,How would you recommend that computerized notes be organized?,"Just make a bunch of different ones, and use the best ones in the list.",M,"Who was the center for the Rockets in the 80s, Ralph Sampson or Hakeem Olajuwon?",Ralph Sampson.,W,What do you want the reason for?,I just want a reason to get a new car.,W,"What Im wondering is, would extraterrestrial intelligence even be capable of communicating with us?",I think we would have to ask ourselves that question.,W,What would be accomplished by asking the parents?,The parents have no idea about the situation.,M,What were the first main updates?,"They released the first map, new map, new weapon, new weapons, new maps, and new vehicles.",M,How could routinely lying to oneself result in feelings of superiority or boosted ego?,I'm a narcissist!,W,What do you think marriage does?,I think you're being facetious.,M,What exactly is the valor in bombing people with no air force?,That's the joke,M,What happens if the populace votes for a war of aggression?,They will be punished for war crimes
M,"How well do you really think Poland, Romania, and Greeces troops would stack up against the Russian military?","Poland has no army, no navy and no airforce.",W,What do you want the lovely people of reddit to say?,I want to see the world burn,M,"How could such a man, or anyone who supports him, claim to give a damn about the will of the people?","It's not about the will of the people, it's about what the people want.",M,How many times have you bought a game on Steam during a sale and been *completely unable* to download it?,How many times have you been in a coma and still have no memory of it?,M,What demands that the criteria be the same despite this?,No one ever said it was the same.,W,How long did you date your husband before marriage?,"I was married for a year, but he was engaged before that.",M,What is the result of economic reform?,We are working on it.,W,What are your eating habits like?,I don't really eat anything except chicken.,W,How long ago did you do it?,I did it last year.,W,How do you make ends meet?,"I'm not sure, but I'm sure it's something like that.",M,"What the fuck did you just fucking say about me, you little bitch?",What was that?,M,WHat do you mean never announcing a match?,"Not yet, but they will announce it after the tournament."
W,How can I look sexy without looking slutty?,It's a trap!,W,"Who gets excited over going to Walmart, in California?",I do. I live in San Francisco and walmart is my favorite grocery store.,M,When did I say I hate jews?,I was talking to him.,M,What games that you play are bottlenecked by the CPU?,I'm not sure what games I play but I'm guessing it's something like that.,M,What portion of the federal budget is used to actually supply those *essential* services?,"The portion that is not used for war, I would assume.",W,What if your child is born sick or disabled?,Then the child will be born sick or disabled.,M,"What if I could prove to you beyond the shadow of a doubt, with tons of evidence that nobody involved has even attempted to defend themselves against, that Hillary and the DNC rigged the 2016 primaries in favor of Hillary Clinton, giving Bernie Sanders no chance to win the nomination?",I would like to see a source for that,M,Whats to say a qualified financial manager wont screw you over?,Well I've been working on a few projects and my manager has been pretty understanding.,W,How many places can you think of that sell in more than one category?,"I'm not sure, but I think I've seen a few at Walmart or something.",W,What does that have to do with my relationship with fad diets?,"I'm not sure, I'm not a fad dieter, I just like to eat healthy, I'm not a vegan, that's why I'm asking for help.",M,How do you count digital votes?,I think it's a system where you have to have a certain percentage of people voting in order to be counted.,M,What monitor do you have?,Acer Predator x34
