Then, uh, how do you propose that we prohibit those types of individuals from gaining access to guns?	qo	Well, we have some laws on the books that, uh, don't allow convicted felons to purchase guns, if I understand correctly.
How long was that?	qw	I forget.
Where, where do you like to go when you got a baby-sitter?	qw	Oh, um, let me see, uh, for New Year's we went to eat at Uncle Julio's.
What do you think?	qo	Uh, yeah,
Where do you live?	qw	Uh, we live in, uh, Utah.
What kind	qw	And.
What kind of music?	qw	Well I enjoy singing.
Uh, how many kids do you have?	qw	Just two,
What are your, uh, what sorts of things would you consider important?	qw	Well those and probably the security aspect of it.
How long did you live there?	qw	they have better computer science up here than they, than they do down there.
What part of Texas you from?	qw	Uh, Nacogdoches.
Where you from?	qw	Georgia.
What about politics on it?	qo	Oh.
What do you have?	qw	We have a tent.
Who won that Portland game?	qw	You know, I wasn't, I, I I watched only a few minutes of it
I mean who would steal a newspaper?	qw	You would be surprised.
so uh,  what do	qw	We're trying,  we're trying to, uh,
So, uh, well how long have you been married?	qw	Uh, about five years.
Oh, where you from Tina?	qw	I live in Garland, Texas.
Uh, well what would you say your opinion is on gun control?	qw	Well, I don't know.
How do you feel about Haitian immigration?	qo	Uh, that's one of the few things I guess I found myself in agreement with Pat Buchanan
what do you usually do as far as budgeting?	qo	We have a very detailed budget. Because my husband is a finance major.
How about yourself?	qo	Well, oh, hobbies, gee whiz,
where do you go?	qw	Uh, I U.
So, how's the baby, do you think	qo	What?
Well, where do you think we ought to go with it?	qo	Uh.
How about you?	qo	Uh, no,
Where did you go on your last vacation?	qw	Uh, the last was back down to Lubbock to visit parents.
Um, what do you do this weekend?	qo	Well, uh, pretty much spent most of my time either in the yard or at nurseries buying stuff for the yard.
What kind of a degree have you got?	qw	I've got a Bachelor's in electrical engineering
how do you like that	qo	Well, have you been listening to Iacocca's arguments that, uh, that Chrysler products are the only ones that, that all have air bags?
what kind, what kind of shoes do they wear down there?	qw	Well, we wear,
What kind of, what lake do you all use?	qw	Well, he, uh, he's from Detroit
And, what room?	qw	I've done it in the all, uh, all my rooms.
How long have you been in Raleigh?	qw	Um, I've been out of Texas about ten years.
What about, uh, Marino?	qo	Uh, I'm,
What do you have there?	qw	Uh we have a six percent sales tax.
How do you feel about the Viet Nam war?	qo	Huh, well, um, you know, I guess it's pretty deep feelings, uh,
So, how long did you play?	qw	Only for about three months.
How many children do you have?	qw	Two.
