	op_id	op_gender	post_id	q	is_qy	q_score	oov
355527	49930535	W	355527	Think the Constitution protects women from discrimination?	False	0.006624458269140154	False
200292	39647325	W	200292	Why?	False	0.006661587092219756	False
389397	86569077	W	389397	Are you registered to vote?	True	0.006786492113615372	False
334988	94349176	W	334988	Did you know that over eight million immigrants across America qualify for U.S. citizenship, and almost 800,000 of them are in Los Angeles County?	True	0.006856789633948757	False
300839	83458649	W	300839	We can ask every candidate who wants our vote -- Democrat, Republican, Independent -- will you support paid family leave, paid sick leave, and schedules that work for all?	False	0.006961274105746207	False
244155	4584091	W	244155	What if I told you a VA employee took a recovering veteran patient off campus to a crack house, bought him illegal drugs, extorted VA payments to pay for vehicles and services from a prostitute, fraudulently claimed overtime pay for all these extracurricular activities, and yet still has a job at the VA more than a year later?	False	0.007009737385281878	False
9291	19169390	W	9291	Will you stand with me and call on Congress to exempt Hawai`i and Alaska from the hike?	False	0.007020166251542004	False
292849	47811014	W	292849	Sound fair to you?	False	0.007212120228258456	False
135984	53750474	W	135984	"Remember this Union Leader headline: ""Thousands Protest Mayor's School Budget Cuts""?"	False	0.00723341010887657	False
10183	19169390	W	10183	-TeamTulsi http://www.youtube.com/watch?	False	0.007255374512367463	False
403761	11299132	W	403761	What would a proper success look like?	False	0.007325990601592336	False
371694	26939686	M	371694	Do we need any more proof that Obamacare's failed top-down, one-size-fits-all approach of mandates, subsidies, and broken promises has made health care less accessible and more expensive?	True	0.007328206551459604	False
340002	65960104	W	340002	Happy #BlackWomenEqualPay Day?	False	0.00758150697221982	False
532305	65996996	W	532305	Do you want to learn how to stop antibiotic-resistant bacteria from killing at least 23,000 people in the US every year, make our food safer, and ensure we don't waste modern medicine?	True	0.007666631534685164	False
535770	652823	W	535770	How Well Do You Know Boko Haram?	False	0.007729368131773828	False
125257	55701792	W	125257	Do you know someone with breast cancer?	True	0.007863936540215555	False
475088	14779758	W	475088	Did you know that an estimated 43 million women in the U.S. are affected by heart disease?	True	0.00805939983305981	False
354764	49930535	W	354764	What will it take for this do-nothing Congress to do its job?	False	0.008252407551444518	False
389811	86569077	W	389811	Will you add your voice?	False	0.008324156795188054	False
243648	4584091	W	243648	The last time this bill came up I joined the debate on the floor and asked those opposed to the bill a simple question: if we won't stop abortions after five months of pregnancy, when will we stop it?	False	0.008359539134664362	False
147551	72264613	W	147551	Want to help students get the supplies they need?	False	0.008439515275070253	False
147550	72264613	W	147550	Want to help students get the supplies they need?	False	0.008439515275070253	False
354962	49930535	W	354962	What's stopping Congress from acting on this bill?	False	0.008550076864315193	False
517534	36181883	M	517534	Why?	False	0.00882756796757278	False
535843	652823	W	535843	Can We Talk?	False	0.00887775918021827	False
518988	50863205	W	518988	Now, the Alaska Department of Education and Early Development is asking you to help answer questions like these: What do great schools look like and how can our schools best measure whether or not students are learning?	False	0.008955124906181777	False
200022	39647325	W	200022	Need additional help?	False	0.009030459579259409	False
10074	19169390	W	10074	Is it fair?	True	0.009031051470042684	False
463065	42685690	W	463065	Will you add your name to our petition urging Republicans to pass a budget that puts New Hampshire families and small businesses first?	False	0.009295896015726446	False
236760	63776107	W	236760	Did you hear about all those great preventative health care services that are now fully covered for women by  new health insurance plans?	True	0.009557794030874311	False
259082	90253029	M	259082	Don't you like a good underdog story?	True	0.0095726086150284	False
532983	65996996	W	532983	Have you ever been a victim of a scam or a target of fraud?	False	0.009592839720776514	False
403804	11299132	W	403804	Tomorrow is Halloween...tomorrow night with Cher...do I put on a costume or just listen?	False	0.009661887943591796	False
244542	4584091	W	244542	If you could ask Secretary Sebelius a question, what would you ask?	False	0.00971986356402399	False
511876	62264117	W	511876	Will you join us in going red for National #WearRedDay tomorrow, February 7?	False	0.009836284386624317	False
356566	49930535	W	356566	Did you know that 68 cents of every dollar you spend at a locally owned business stays in the community?	True	0.00990804167570647	False
135705	53750474	W	135705	Really, Frank?	False	0.01014793745995024	False
26860	60460662	W	26860	Do you have photos of a Granite State vacation to share?	True	0.010154890090146917	False
391880	10284504	M	391880	Did you know if women were paid the same as men, each would earn, on average, $207 more each week?	True	0.0103591650820829	False
340247	65960104	W	340247	Why on earth would we want to take quality healthcare away from millions of Americans?	False	0.010517537491097628	False
9619	19169390	W	9619	How did she do?	False	0.01056828652961972	False
532027	65996996	W	532027	Know a high school student who could have the next great app idea?	False	0.010630575129252695	False
305651	3162230	W	305651	Which candidate do you support in South Dakota's U.S. House race?	False	0.010707613578089026	False
217413	2149236	M	217413	Did you know Latinas currently earn 56 cents for every dollar that white, non-Hispanic men earn?	True	0.010739158597989462	False
518901	50863205	W	518901	What are you grateful for on #NationalSalmonDay?	False	0.010790852982300314	False
360932	31113438	W	360932	Don't we all wish we were as cute and relaxed as Bailey?	True	0.010955140376269767	False
187537	8631617	W	187537	How many more women have to fall victim to their abusers before Republicans will join Democrats in protecting us from domestic violence?	False	0.011178366226846537	False
215735	41509550	W	215735	Did you know that an estimated 44 million women in the U.S. are affected?	True	0.01132945604155966	False
305521	3162230	W	305521	Can you suggest our page to 4 of your friends right now?	False	0.011392857868954054	False
464224	42685690	W	464224	"""Will we go backwards?"	False	0.011452038535709752	False
273667	60239508	W	273667	My inspiration?	False	0.011634595604528175	False
9171	19169390	W	9171	The trick?	False	0.011666555912975718	False
258133	85385501	W	258133	I only have one question for the GOP: Are they really going to block giving 15 million American women a raise?	False	0.011685084663331513	False
245083	4584091	W	245083	What are you thankful for this year?	False	0.011809608002395278	False
456047	20437142	W	456047	Are you?	True	0.011826323072603229	False
23142	56371090	W	23142	Who's ready for the Olympics?	False	0.012142742945752016	False
334344	94349176	W	334344	Are you struggling to make your mortgage payments?	True	0.012319742101074893	False
356255	49930535	W	356255	What will you be doing to commemorate Memorial Day this year?	False	0.01235225318390043	False
136058	53750474	W	136058	"Frank Guinta claims his shady group represents small businesses, but remember what the President of the BIA (New Hampshire's Chamber of Commerce), the highly respected Jim Roche, said about Guinta's ""simply incorrect"" claims?"	False	0.012419778729466868	False
26949	60460662	W	26949	Did you know that it's New Hampshire craft beer week?	True	0.012603077990480549	False
418334	12047653	W	418334	What does our Congressional district here in Queens mean to you?	False	0.012613482530222764	False
69675	13876473	W	69675	What was their crime?	False	0.012795470270684062	False
373283	40425256	W	373283	Did you know that the government insurance provided to Peace Corps volunteers does not include reproductive care coverage (coverage which is afforded to federal Medicaid recipients, government employees, and even federal prisoners) even in cases of rape, incest, and endangerment of life?	True	0.012816482602698298	False
356744	49930535	W	356744	Is this what zero tolerance means in the military?	True	0.012888796547552595	False
9798	19169390	W	9798	How can we live with greater presence, meaning, and mindfulness in the technology age?	False	0.012896848315092968	False
495052	99840448	W	495052	Are you an artist who cares about social justice?	True	0.012929776320286912	False
50638	98470558	W	50638	Are you interested in coding and computer science?	True	0.012932512004775298	False
305599	3162230	W	305599	WNAX-AM poll results: Which South Dakota Republican will emerge June 8th to take on Stephanie Herseth Sandlin this fall?	False	0.012995263812846436	False
199879	39647325	W	199879	Are you going red today too?	True	0.013214136669018162	False
448261	31773666	W	448261	Do you have prescription drugs at home that are expired or not needed anymore?	True	0.01331466385952651	False
334975	94349176	W	334975	Have you been a legal permanent resident for five years or more and not yet applied for U.S. #citizenship?	False	0.013344080308395845	False
39298	7840915	M	39298	Can I count on your help?	False	0.013429993124507544	False
355266	49930535	W	355266	Where are their priorities?	False	0.013459852155205398	False
535948	652823	W	535948	"""Is it because they were poor or because they seek education that they have been punished for that?"	False	0.01349255207280775	False
243707	4584091	W	243707	Reading through the list of objectives, do you think the Obama Administration has articulated a solid strategy to actually defeat this terrorist group?	False	0.013629930673250024	False
518802	50863205	W	518802	We've had Black Friday, Small Business Saturday, Cyber Monday…but did you know today is #GivingTuesday?	False	0.013789550217705115	False
403787	11299132	W	403787	Why do we have to pick on everything?	False	0.013908556979689735	False
464156	42685690	W	464156	Have you seen Maggie's new ad?	False	0.01394722197473941	False
83751	23984618	W	83751	Have you signed up yet for the teletownhall I'm hosting next Tuesday, September 3 at 7:30pm?	False	0.014052033087293081	False
535849	652823	W	535849	Is it any wonder that Boko Haram, which has killed more than 17,000 people in the past six years, holds the title of the world's deadliest terrorist group?	True	0.014077924859988489	False
135974	53750474	W	135974	Remember when Frank Guinta wanted to lay off 15 Manchester firefighters in order to ram through extreme budget cuts?	False	0.014274854542660531	False
369036	67152654	W	369036	Did you know that the government has two, nearly identical programs to inspect catfish?	True	0.014361736657881763	False
136552	53750474	W	136552	My answer?	False	0.01472031889473635	False
35206	56883970	W	35206	This scandal begs the question: how can the president continue to support Obamacare's expansion of IRS powers?	False	0.014942054669696225	False
235142	63776107	W	235142	Have you visited the Wayside?	False	0.015213650092457343	False
244425	4584091	W	244425	Remember when it was revealed that the IRS had improperly targeted certain groups based on their political beliefs?	False	0.015396991473019761	False
135917	53750474	W	135917	"Remember when Frank Guinta agreed that there should be ""lawyers everywhere"" to suppress New Hampshire college students' votes?"	False	0.015469586027772153	False
200293	39647325	W	200293	Need help with Medicare, either as a provider or as a patient?	False	0.015593846770290631	False
244918	4584091	W	244918	"Utilizing ""comp time"" is already legal and common in the public sector, so why should the rules be different for private business and workers?"	False	0.01575851875747214	False
531660	65996996	W	531660	Did you know that in the early 1900's, Rochester was the bike capital of the United States?	True	0.01585862157833895	False
257472	85385501	W	257472	Are you?	True	0.015997819696884186	False
200322	39647325	W	200322	Need help?	False	0.01645067822117241	False
531903	65996996	W	531903	What's the best way to celebrate the opening of Rochester Institute of Technology's new Center for Urban Entrepreneurship?	False	0.01649969913561733	False
532311	65996996	W	532311	Want to learn more?	False	0.01661067822591955	False
367944	67152654	W	367944	Have you had a noteworthy interaction with an officer?	False	0.016781157919915746	False
531810	65996996	W	531810	Remember the local researchers who helped confirm Einstein's Theory of Relativity?	False	0.01687482176293087	False
74195	53513040	M	74195	Did you know that yesterday marked the 50th anniversary of the Supreme Court's decision in Griswold v. Connecticut?	True	0.01725427630818699	False
280972	25380823	M	280972	"Brazil, Russia and South Africa, not to speak of the European Union—all of them fond of planning and protectionism and level playing fields—have stagnated...  ""What public policy to further this revolution?"	False	0.01726613341137906	False
520239	50863205	W	520239	What plans do you have to enjoy the outdoors tomorrow?	False	0.01759584408734205	False
532017	65996996	W	532017	Want to get involved?	False	0.017651890880038046	False
354886	49930535	W	354886	How many more Orlandos, Newtowns, San Bernardinos, Auroras, and Umpquas must we endure before this do-nothing Congress takes action?	False	0.017722734456937728	False
511547	62264117	W	511547	Did he ever think what if this had happened to his family?	True	0.018042999876951904	False
532010	65996996	W	532010	I want to hear from you—what ideas do you have to make Rochester better in 2016?	False	0.0181499261862359	False
280398	70359503	W	280398	Did you know that an estimated 44 million women in the U.S. are affected by heart disease and stroke?	True	0.018152948976124517	False
532414	65996996	W	532414	Beyond coking your turkey to the perfect 165*, how about an organic bird this year?	False	0.0183004762149942	False
72902	83239606	W	72902	What do you hope he talks about?	False	0.01844553464099863	False
204260	83432188	W	204260	What is the cost of inaction?	False	0.018466677456873137	False
391867	10284504	M	391867	Did you know 50% of women nationwide are the breadwinners for their household?	True	0.019132934668196877	False
145498	72264613	W	145498	Looking for ways to give back this holiday season?	False	0.019256611858831096	False
148044	72264613	W	148044	Can we count on you to help Kyrsten by signing up for one or two shifts?	False	0.01929876137592701	False
532185	65996996	W	532185	Enjoying the Xerox Rochester International Jazz Festival, ROC?	False	0.019372370722625876	False
43971	47977187	W	43971	Will you join me by signing my petition below?	False	0.01953616301812333	False
135616	53750474	W	135616	The reason they didn't fund a bill to fight Zika?	False	0.01975281706862697	False
355690	49930535	W	355690	Could the next golf legend come from our own backyard?	False	0.01983248178811947	False
135953	53750474	W	135953	Remember when Frank Guinta couldn't decide whether he wanted to run for Senate or Governor?	False	0.019972623528821898	False
219138	37842323	W	219138	Missed Rosa's appearance on the Bill Press Show last week?	False	0.0200618776242667	False
356695	49930535	W	356695	How can this be happening?	False	0.020186481195369366	False
456522	20437142	W	456522	Have you signed Tammy's petition yet to save food & nutrition programs for low-income women & children?	False	0.020237672309537436	False
364002	19236095	W	364002	Have you signed up to participate?	False	0.020348636467173553	False
464112	42685690	W	464112	Have you signed up to volunteer for GOTV yet?	False	0.02050193342011697	False
356269	49930535	W	356269	Is Congress really going to stand by and let the military handle this?	True	0.020640526487232802	False
200222	39647325	W	200222	Need help?	False	0.020839113771599527	False
494994	99840448	W	494994	Interested in getting further involved on our campaign?	False	0.02090796654768512	False
9981	19169390	W	9981	What motivates Tulsi Gabbard?	False	0.021072371331968376	False
340580	65960104	W	340580	Did you know that heart disease kills 1 in 3 women every year?	True	0.021082542041952923	False
373385	40425256	W	373385	Will you join Congresswoman Lowey by signing a petition to send a clear message that Congress must take action on this crucial issue?	False	0.02120770825274465	False
148140	72264613	W	148140	Now can you Share and spread the word?	False	0.02152985194415169	False
9616	19169390	W	9616	Can you make a contribution today?	False	0.02153457833171013	False
244919	4584091	W	244919	Did you see this?	True	0.021640753481607433	False
244061	4584091	W	244061	Insult to injury?	False	0.021688764937115912	False
521762	50863205	W	521762	Worried about tsunami debris washing up on our shores?	False	0.02177816920561637	False
51417	98470558	W	51417	Do you need help with a federal agency?	True	0.021804447340217803	False
535920	652823	W	535920	What are you wearing next Wednesday?	False	0.022072405283164565	False
355933	49930535	W	355933	Would the man survive?	False	0.02217730893202119	False
535854	652823	W	535854	How Do You Define Defeat?	False	0.022272177651391	False
200490	39647325	W	200490	Questions about health care coverage options under the Affordable Care Act?	False	0.02245882048005443	False
234957	63776107	W	234957	Which market have you visited?	False	0.022459813475492196	False
88084	38085510	W	88084	Will you join me in signing this petition to let Republicans know that our children's futures shouldn't be subjected to partisan politics?	False	0.022812443133292448	False
257772	85385501	W	257772	Do you know a Washingtonian who goes the extra mile to make their community a better place?	True	0.02301526209382454	False
355036	49930535	W	355036	Did you know that the amount of additional CO2 we've put into the air produces the same heating effect as setting off 350,000 Hiroshima atomic bombs every day?	True	0.023543649943442158	False
318073	85968473	W	318073	I asked the group if they were ready to rally for another election?	False	0.023643941374707933	False
243900	4584091	W	243900	"""How likely is a broken bureaucracy to fix itself from within, without decisive and fully empowered leadership from the top?"	False	0.023703580334874075	False
200116	39647325	W	200116	Are you or someone you know looking for an internship with my office?	True	0.023735277323985726	False
218634	37842323	W	218634	Why are we wasting time on ideological attacks such as this?	False	0.02374677986865159	False
219329	37842323	W	219329	Missed Rosa's remarks at the press conference honoring victims and families of victims of gun violence?	False	0.02377295203519203	False
119470	98451847	W	119470	Seriously?	False	0.02392394502838724	False
417322	12047653	W	417322	Do they not want to do everything possible to keep Americans safe?	True	0.024347205965297603	False
355117	49930535	W	355117	What sounds good to you?	False	0.024585861961211486	False
300819	83458649	W	300819	"""What can I say?"	False	0.024784981312925614	False
244930	4584091	W	244930	So, what do you think?	False	0.024820371012824416	False
9277	19169390	W	9277	Will you stand with me?	False	0.02494645173215493	False
520081	50863205	W	520081	What's your favorite seafood to eat?	False	0.02516117430104836	False
17351	93114952	W	17351	Do you know anyone dealing with workplace harassment or discrimination?	True	0.025595695150236963	False
301110	83458649	W	301110	The MA Senate debate showed that this election comes down to one question: Whose side do you stand on?	False	0.0258861650816663	False
9614	19169390	W	9614	Can you chip in by midnight and help us reach our goal?	False	0.025887372344273407	False
360817	31113438	W	360817	Are you a high school student in Michigan's 14th District who is interested in computer coding?	True	0.02656145666229559	False
187737	8631617	W	187737	What better target to attack than a victim that can't fight back?	False	0.02692137014977647	False
520205	50863205	W	520205	Go big or go home, right?	False	0.026963328501740325	False
532447	65996996	W	532447	Anyone have any great photos of the foliage?	False	0.026994681426444123	False
243598	4584091	W	243598	But, why all the red tape to begin with?	False	0.027346212239192758	False
244674	4584091	W	244674	Where were you on the morning of September 11th?	False	0.027382858371373886	False
403956	11299132	W	403956	He told us pay attention; if something seems off -ask are you ok.....are you thinking about harming yourself?	False	0.027682551509575437	False
145681	72264613	W	145681	Will you help us?	False	0.027865075032753372	False
523362	32332773	M	523362	Did you know that one out of three Alaskans will need a blood transfusion at some point in their lifetime?	True	0.027940160120764723	False
135866	53750474	W	135866	"That ""Repeal and Replace"" plan that Rep Frank Guinta and other Republicans talk about whenever they vote to take away needed physical and mental health care from people?"	False	0.028032221431581905	False
9323	19169390	W	9323	Are you on #TeamTulsi?	True	0.028148793583641973	False
115987	1057579	W	115987	What issues or topics do you hope to hear in the President's speech tonight?	False	0.028303590380920007	False
418330	12047653	W	418330	What does our Congressional district here in Queens mean to you?	False	0.028585419610257845	False
236111	63776107	W	236111	What should Congress' priority be in regards to reducing gun violence?	False	0.02878143663727417	False
73089	83239606	W	73089	Did you know one in three women die of heart disease or stroke?	True	0.028810533680806327	False
17315	93114952	W	17315	Have you noticed the change with growing businesses in East Tampa and beyond?	False	0.02894171267071155	False
440687	60507862	W	440687	When will you #DoYourJob?	False	0.029051900752253834	False
528221	4938109	W	528221	When will you #DoYourJob?	False	0.029051900752253834	False
317396	85968473	W	317396	As House Republicans are voting on bills to fund some programs but not others, who's going to stand up for the small businesses?	False	0.029113894313298694	False
403807	11299132	W	403807	Sixteen Days left until election but who is counting?	False	0.02932084153592407	False
191497	62031614	W	191497	Do you have yours yet?	True	0.029325441139478547	False
521097	50863205	W	521097	Since the Pentagon needs to make cuts, is it too much to allow them to prioritize the expenses of combat training over activities like Air Force flyovers at sporting events?	False	0.02942017493711413	False
356923	49930535	W	356923	Did you know that three out of four new jobs are created by small businesses?	True	0.029430890052677183	False
10168	19169390	W	10168	How about you?	False	0.029431650129830178	False
204062	83432188	W	204062	What is the scope of the mission?	False	0.02950776247064313	False
219137	37842323	W	219137	Miss Rosa's appearance on MSNBC this morning?	False	0.02951551356148796	False
455479	20437142	W	455479	The only question we should be asking is, regardless of gender, can you drag your buddy to safety while continuing to fire your weapon and do your job?	False	0.029566919965640093	False
73542	83239606	W	73542	Need help filing your taxes?	False	0.029609974633034497	False
235706	63776107	W	235706	Miss my interview?	False	0.029796308726573906	False
531601	65996996	W	531601	Are you traveling from Rochester to D.C. this weekend for the presidential inauguration or the Women's March on Washington?	True	0.030059256562377734	False
403990	11299132	W	403990	Then to a Hillary Clinton watch party at Ann Arbor Brewery...significant great speech....Lots of friends and great sloppy joes at Superior Township Days....Belleville Woodstock Revisited....was it that long ago?	False	0.030193612562463223	False
243681	4584091	W	243681	Does your hometown do something special for Christmas?	True	0.030245368470585454	False
455767	20437142	W	455767	What's YOUR reason for supporting Tammy?	False	0.030383504225008906	False
26561	60460662	W	26561	Our question is for you: how should the USS Manchester best capture the spirit of New Hampshire's Queen City?	False	0.03053572680400085	False
354925	49930535	W	354925	What has become of us?	False	0.030557633901694192	False
303464	3162230	W	303464	If you could recommend one spot across our state for vacationers to check out, what would it be?	False	0.030621327012153143	False
236059	63776107	W	236059	Did you know that the northeast border of Massachusetts is set approximately three miles north of the Merrimack River at all points east of Lowell?	True	0.030741271528252123	False
273571	60239508	W	273571	How long has that been?	False	0.030797778340450166	False
66292	19770004	W	66292	Why on earth would we cut support for Americans during tough economic times when they need our help most?	False	0.03081455156026114	False
257517	85385501	W	257517	Are you with me?	True	0.031145734352540977	False
8194	19169390	W	8194	Haven't voted yet?	False	0.03132497575793358	False
65887	19770004	W	65887	Will you join me?	False	0.03195496223449368	False
155926	10174826	W	155926	Wow, did you happen to see this online poll?	False	0.03210180568435517	False
199712	39647325	W	199712	Traveling this summer and having passport issues?	False	0.03211901670743067	False
23150	56371090	W	23150	Shall we count all the things that Republicans have left unaddressed before leaving for the longest summer recess in at least 60 years?	False	0.032159222845898894	False
539364	35738396	W	539364	Who is a woman you would like to feature this month?	False	0.032353565627251	False
548125	18876566	M	548125	What do you think?	False	0.0323616573951373	False
